
1624137612.740303,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137613.356061,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137613.86169,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137614.886745,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137615.602504,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137616.118748,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137621.031917,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137621.646193,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137622.155365,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137622.874727,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137623.053491,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137624.718339,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137628.712719,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137629.940849,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137630.246238,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137631.169417,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137631.170678,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137632.089618,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137633.629634,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137634.244312,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137635.165021,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137635.178154,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137636.086881,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137637.930602,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137638.851416,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137639.46542,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137643.461146,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137646.221019,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137647.142424,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137649.295899,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137654.212259,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137656.668262,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137659.433225,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137660.046029,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137660.970776,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137661.888605,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137661.894222,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137662.81325,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137665.884505,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137666.500428,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137667.113934,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137671.109343,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137672.743579,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137674.180533,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137680.325875,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137680.326821,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137682.168124,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137682.169025,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624138134.69044,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2TEPDJI6Q6RYU'}
