
1624055517.596771,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A35LWWZHYTBJES'}
1624055518.10203,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A35LWWZHYTBJES'}
1624055518.701754,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A35LWWZHYTBJES'}
1624055519.128816,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A35LWWZHYTBJES'}
1624055519.746869,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A35LWWZHYTBJES'}
1624055520.361177,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A35LWWZHYTBJES'}
1624055520.634333,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A35LWWZHYTBJES'}
1624055521.901636,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A35LWWZHYTBJES'}
1624055521.910029,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A35LWWZHYTBJES'}
1624055521.963457,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'complete', 'score': 34, 'worker-id': 'A35LWWZHYTBJES'}
1624055528.652021,A35LWWZHYTBJES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35LWWZHYTBJES'}
1624055537.871171,A35LWWZHYTBJES,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A35LWWZHYTBJES'}
1624055661.05611,A35LWWZHYTBJES,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A35LWWZHYTBJES'}
1624055669.968734,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.43857142857142856,0.81]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055669.969567,A35LWWZHYTBJES,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055669.970093,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.46285714285714286,0.9585714285714285]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055670.160441,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.42857142857142855,0.6514285714285715]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055670.411397,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.45571428571428574,0.5714285714285714]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055670.585897,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.47,0.5428571428571428]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055670.731567,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5328571428571428,0.6014285714285714]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055670.892074,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5314285714285715,0.7]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055671.088482,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5314285714285715,0.8314285714285714]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055671.201652,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5142857142857142,0.8614285714285714]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
1624055671.403163,A35LWWZHYTBJES,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.3557142857142857,0.8471428571428572]', 'worker-id': 'A35LWWZHYTBJES', 'stage': 0}
