
1623706221.113537,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34SUZWGLXIWM8'}
1623706224.697548,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706224.698103,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706225.004997,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34SUZWGLXIWM8'}
1623706226.028736,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34SUZWGLXIWM8'}
1623706227.35983,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34SUZWGLXIWM8'}
1623706227.876821,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34SUZWGLXIWM8'}
1623706228.588814,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34SUZWGLXIWM8'}
1623706229.208454,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34SUZWGLXIWM8'}
1623706229.920497,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706230.841616,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34SUZWGLXIWM8'}
1623706231.354003,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34SUZWGLXIWM8'}
1623706231.866036,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706232.377548,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706233.09435,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
1623706233.709111,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34SUZWGLXIWM8'}
1623706234.323266,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34SUZWGLXIWM8'}
1623706235.14241,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34SUZWGLXIWM8'}
1623706235.677621,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34SUZWGLXIWM8'}
1623706236.576286,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706238.726506,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34SUZWGLXIWM8'}
1623706238.727578,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34SUZWGLXIWM8'}
1623706267.296524,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34SUZWGLXIWM8'}
1623706269.95947,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706270.573541,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706270.738034,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706271.187786,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706271.700005,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706272.007021,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706273.440495,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34SUZWGLXIWM8'}
1623706273.952647,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34SUZWGLXIWM8'}
1623706275.795822,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
