
1624230044.932245,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
1624230047.695239,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
1624230048.924571,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
1624230052.305344,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXY0D2AMLKE2A'}
1624230052.307018,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624230082.414014,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624230085.185102,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
1624230089.167672,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230089.78302,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230089.88886,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230090.704932,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230091.319372,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230091.510889,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230091.933165,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230092.548932,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230095.006913,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230095.19814,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230102.687079,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXY0D2AMLKE2A'}
1624230106.68553,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624230107.260563,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624230114.05809,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXY0D2AMLKE2A'}
1624230114.977637,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624230120.200895,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624230120.815805,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624230120.938812,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624230125.726936,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXY0D2AMLKE2A'}
1624230130.335073,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXY0D2AMLKE2A'}
1624230134.943192,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624230134.990792,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624230135.863634,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624230139.855393,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624230143.543842,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AXY0D2AMLKE2A'}
1624230143.852047,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXY0D2AMLKE2A'}
1624230144.465842,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
