
1621101286.917165,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ASS8RE4GEBJK6'}
1621101287.592212,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ASS8RE4GEBJK6'}
1621101288.510939,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ASS8RE4GEBJK6'}
1621101290.356827,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ASS8RE4GEBJK6'}
1621101291.374346,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ASS8RE4GEBJK6'}
1621101292.197428,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101293.734957,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101295.060014,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101295.881413,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101296.22671,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101296.806074,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101297.726175,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101298.132337,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101298.439105,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
