
1624046959.24639,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046959.325459,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046960.269965,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046960.377175,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046961.396046,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046961.397198,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.011785,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.059552,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.946594,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.955743,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046963.854853,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046963.855612,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046964.580811,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046964.581575,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046966.006669,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046966.005757,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046966.755747,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046967.064183,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046967.372643,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046967.56361,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046968.168035,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046968.365143,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046968.573735,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046969.69851,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046969.698996,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046970.310252,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046970.477632,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046971.429881,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046971.430624,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046972.456997,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046972.457817,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046973.092703,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046973.492839,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046973.555108,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046973.859137,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046974.710488,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046974.712273,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046975.327496,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046977.078684,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046977.080042,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046977.194976,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046978.304379,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046978.404456,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046978.90815,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046979.829647,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046979.981287,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046980.543375,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046982.287697,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046982.288222,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047012.39533,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047177.364254,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047177.460452,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047178.901382,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047179.518669,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047180.435402,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047181.35878,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047181.997014,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047182.586899,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047182.622814,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047183.915608,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047184.042664,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047185.351902,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047185.550254,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047186.89051,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047187.504252,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047188.120165,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624047188.732953,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
