
1623977932.134738,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977932.749082,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977932.80639,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977933.156491,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977933.670888,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977934.284518,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977934.39536,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977934.898282,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977935.821502,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AW0MG225VXWCN'}
1623977936.331948,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AW0MG225VXWCN'}
1623977937.051693,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977937.97313,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0MG225VXWCN'}
1623977938.587214,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0MG225VXWCN'}
1623977939.202353,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977939.816316,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977940.122515,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0MG225VXWCN'}
1623977940.738226,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0MG225VXWCN'}
1623977940.81591,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0MG225VXWCN'}
1623977943.500794,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0MG225VXWCN'}
1623977943.502417,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AW0MG225VXWCN'}
1623977943.503615,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977943.50484,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0MG225VXWCN'}
1623977943.505782,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977972.998314,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977975.456951,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AW0MG225VXWCN'}
