
1624832028.413729,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A32QWM7BWCSPTS'}
1624832028.78571,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A32QWM7BWCSPTS'}
1624832029.335079,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A32QWM7BWCSPTS'}
1624832030.083919,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A32QWM7BWCSPTS'}
1624832031.18064,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A32QWM7BWCSPTS'}
1624832031.182336,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624832061.284394,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624832063.744062,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832064.665688,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832064.929878,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832065.583416,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832066.199728,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832066.404543,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832067.428098,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624832067.789299,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624832070.191432,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A32QWM7BWCSPTS'}
1624832070.500014,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A32QWM7BWCSPTS'}
1624832071.420436,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A32QWM7BWCSPTS'}
1624832071.728748,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A32QWM7BWCSPTS'}
1624832072.595152,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624832073.265303,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624832073.992157,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A32QWM7BWCSPTS'}
1624832074.496706,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A32QWM7BWCSPTS'}
1624832075.419718,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A32QWM7BWCSPTS'}
1624832076.341846,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A32QWM7BWCSPTS'}
