
1617487587.332932,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
1617487588.165421,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487588.674397,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487589.521661,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487589.835564,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487592.23814,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487592.35074,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487593.282114,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487593.400336,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487594.709064,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
1617487594.953326,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
1617487596.624764,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487596.938225,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487597.984847,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487598.193165,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487599.654433,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487601.535344,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AUB6V4HVL1O45'}
1617487601.74318,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AUB6V4HVL1O45'}
1617487602.475686,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AUB6V4HVL1O45'}
1617487603.205563,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AUB6V4HVL1O45'}
1617487604.458819,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AUB6V4HVL1O45'}
1617487605.109168,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AUB6V4HVL1O45'}
1617487605.608555,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AUB6V4HVL1O45'}
1617487606.488494,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AUB6V4HVL1O45'}
1617487607.173983,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AUB6V4HVL1O45'}
1617487608.637952,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487608.689453,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AUB6V4HVL1O45'}
1617487638.822919,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487673.813023,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
1617487674.234873,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
1617487674.903306,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487675.278081,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487676.216477,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487676.424322,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487677.263835,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487677.680738,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487678.415375,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
