
1617480957.095032,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480958.211525,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480958.731512,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480959.4633,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480959.671223,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480960.556802,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480960.92596,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480961.78084,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480962.051117,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480962.935572,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480963.327012,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480964.800247,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34MXCHJVM6ENI'}
1617480965.316913,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34MXCHJVM6ENI'}
1617480965.833925,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34MXCHJVM6ENI'}
1617480967.013265,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34MXCHJVM6ENI'}
1617480968.350324,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34MXCHJVM6ENI'}
1617480970.433964,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480982.547964,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480983.172788,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480984.158524,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34MXCHJVM6ENI'}
1617480985.262611,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480985.900478,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480987.246436,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
