
1624779021.792134,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779021.993319,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779023.634718,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779023.871198,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779028.555413,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779029.474429,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779029.980173,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779030.699376,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779031.320175,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779031.721402,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779032.851364,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779033.467762,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779034.083439,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779034.698604,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779035.313186,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779036.233186,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779037.150887,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779037.776601,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779038.381645,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779042.994302,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779042.995127,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779072.826701,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779074.635609,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779074.871522,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779075.861551,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779076.063037,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779077.091618,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779077.150097,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779078.115543,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779078.372385,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779078.649785,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779080.456946,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779080.876224,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779082.004502,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779082.622307,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779083.855561,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779083.984328,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779084.775224,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779085.700776,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
