
1617480426.259792,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480426.872988,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480427.48376,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480429.79709,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480430.528186,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480440.031999,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480440.974377,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480441.391241,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480441.704159,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480441.952719,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480442.435852,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480443.480115,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480444.525527,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N4L5F7CEY0B2'}
