
1625193686.073279,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193686.840862,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0ONSTZE01AW'}
1625193686.943049,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0ONSTZE01AW'}
1625193687.454505,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0ONSTZE01AW'}
1625193688.376633,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0ONSTZE01AW'}
1625193688.593855,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193689.220348,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193689.917627,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193691.447255,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193692.370969,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193692.988644,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193693.913333,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193694.073644,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
