
1625190054.963456,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CW3HM9HVNVK'}
1625190055.056618,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3CW3HM9HVNVK'}
1625190055.250268,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CW3HM9HVNVK'}
1625190055.46213,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CW3HM9HVNVK'}
1625190056.899207,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CW3HM9HVNVK'}
1625190056.909763,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CW3HM9HVNVK'}
1625190087.21289,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CW3HM9HVNVK'}
1625190088.951222,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CW3HM9HVNVK'}
1625190088.989411,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CW3HM9HVNVK'}
1625190089.161365,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CW3HM9HVNVK'}
1625190089.281594,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CW3HM9HVNVK'}
1625190089.466277,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CW3HM9HVNVK'}
1625190089.598275,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CW3HM9HVNVK'}
1625190089.734202,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CW3HM9HVNVK'}
1625190089.875773,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CW3HM9HVNVK'}
1625190090.595653,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CW3HM9HVNVK'}
1625190090.676178,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CW3HM9HVNVK'}
