
1625187127.269529,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187127.269943,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187127.575941,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187128.010301,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187129.819307,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187131.165378,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187131.562445,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187135.864368,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187136.784085,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187138.128748,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187138.629219,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187138.63055,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187140.478108,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187140.551465,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187140.641223,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K0FWYPIYNTEI'}
