
1629822056.099909,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9705'}
1629822056.242014,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822056.511262,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822057.869866,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9705'}
1629822060.091173,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
1629822060.287531,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
1629822060.532281,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9705'}
1629822061.627836,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9705'}
1629822061.77134,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9705'}
1629822062.181488,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9705'}
1629822062.871586,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9705'}
1629822062.884431,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9705'}
1629822063.064223,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9705'}
1629822064.452404,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9705'}
1629822064.787666,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9705'}
1629822065.389717,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '9705'}
1629822065.861245,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '9705'}
1629822066.325361,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '9705'}
1629822066.410151,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '9705'}
1629822066.850625,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '9705'}
1629822067.474014,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629822068.100965,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
