
1630354775.235059,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7054'}
1630354775.757041,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354775.950013,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354777.115858,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7054'}
1630354777.787002,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7054'}
1630354778.395102,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7054'}
1630354778.890585,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7054'}
1630354779.412856,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7054'}
1630354779.689619,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7054'}
1630354780.143967,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7054'}
1630354780.667077,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7054'}
1630354780.800261,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7054'}
1630354781.846207,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7054'}
1630354811.857389,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7054'}
1630354813.079786,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7054'}
1630354813.568174,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7054'}
1630354814.881169,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7054'}
1630354815.485535,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7054'}
1630354815.979047,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7054'}
1630354816.492956,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354816.799047,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354816.834302,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354817.895855,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354818.494417,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7054'}
1630354819.165707,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7054'}
1630354819.522235,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7054'}
1630354819.849797,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7054'}
1630354820.253242,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7054'}
1630354820.978713,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7054'}
1630354821.175774,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7054'}
1630354822.09734,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7054'}
1630354822.112692,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7054'}
1630354822.655297,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7054'}
1630354822.79095,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7054'}
1630354823.386299,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7054'}
1630354823.414095,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7054'}
1630354824.0133,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7054'}
1630354824.538275,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7054'}
1630354824.831306,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7054'}
