
1619890510.29724,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890510.448858,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890511.105271,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890511.342422,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890512.177454,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890512.296658,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890513.117135,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890513.190212,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890513.848572,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890513.899975,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890515.102578,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890515.728935,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890516.146975,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890516.564225,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890516.878061,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890517.399899,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890517.715897,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890519.384263,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890519.698367,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890520.010947,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890520.429257,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890522.100519,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890522.101815,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2IP3ZAFYGV8M9'}
