
1617311019.17487,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311019.593146,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311020.220551,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311020.221683,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311050.510241,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311052.370505,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311052.599013,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311053.120812,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311053.330006,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311053.656713,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311053.852357,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311054.382445,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
