
1630333056.161365,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '6600'}
1630333086.238131,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630333088.008796,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630333088.429008,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630333088.68078,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630333089.679339,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333089.891771,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333090.306269,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333091.692519,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630333092.08206,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630333093.240928,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '6600'}
1630333093.403852,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '6600'}
1630333094.90217,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333095.057786,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333095.386248,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333095.759545,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333096.051156,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333096.949413,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630333097.120939,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630333098.144136,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630333098.209777,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630333099.008253,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
