
1616534258.318443,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534259.881143,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534260.929853,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534261.28458,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534262.189219,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534263.854251,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A7O82NXM2PI12'}
1616534267.283627,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534267.639426,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534270.539878,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534271.06143,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534275.144946,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534277.017274,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534277.400477,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A7O82NXM2PI12'}
1616534278.787453,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
1616534280.674979,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616534281.30534,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616534282.976758,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616534282.977201,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534312.836753,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534318.794673,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A7O82NXM2PI12'}
1616534319.421673,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A7O82NXM2PI12'}
1616534320.048538,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A7O82NXM2PI12'}
1616534320.687675,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616534321.401527,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616534323.895654,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534325.061931,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534325.479963,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534326.216011,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
1616534327.066585,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
1616534328.100391,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A7O82NXM2PI12'}
1616534328.616202,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A7O82NXM2PI12'}
1616534329.138191,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A7O82NXM2PI12'}
1616534331.020358,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534331.457523,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534331.862668,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
