
1629310630.187945,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8943'}
1629310630.654952,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8943'}
1629310631.46773,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310632.351915,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8943'}
1629310633.007047,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8943'}
1629310633.516616,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310634.753078,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8943'}
1629310665.075997,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8943'}
1629310667.505863,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310667.607851,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310668.725972,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310668.857984,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310669.921666,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310669.924596,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310670.521791,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310670.575328,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310671.242789,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310671.39127,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310672.037732,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310672.112571,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310673.27281,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310673.549554,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310674.694747,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310674.874986,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310675.64245,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310676.460766,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8943'}
1629310676.552122,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8943'}
1629310677.187542,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8943'}
1629310677.834307,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8943'}
1629310678.341588,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8943'}
1629310678.895378,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8943'}
1629310679.503622,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8943'}
1629310679.579091,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8943'}
1629310680.186734,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310681.053431,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8943'}
1629310711.037848,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8943'}
1629310712.610404,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8943'}
1629310712.661387,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8943'}
1629310713.429624,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8943'}
1629310715.356177,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310716.476726,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310716.480892,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310716.481605,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310716.551925,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310717.050533,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310717.673083,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310717.931892,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310718.751538,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310718.890596,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310719.985799,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310719.987398,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310720.602494,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310720.603155,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310721.298436,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310721.344211,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310721.886145,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310721.984493,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310722.521459,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310722.591944,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310723.122216,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310723.185111,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310723.769342,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8943'}
1629310724.232502,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8943'}
1629310724.897369,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8943'}
