
1621129556.34942,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129557.03031,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129557.646228,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129557.95443,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129558.565812,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129558.834006,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129559.795822,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129560.409425,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129560.537882,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129561.03449,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129562.255823,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129562.256269,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129592.360699,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129593.589247,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129593.9032,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129594.018203,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129594.918234,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
