
1621292490.591973,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292490.795362,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292490.971243,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292491.25545,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292491.459821,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292491.594924,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292491.840145,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292492.002295,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292492.192295,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292492.483503,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292492.621915,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292493.206304,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292493.523593,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292494.607374,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292495.354693,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292496.280154,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292497.505182,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292498.736918,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292499.042564,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292499.241902,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292499.433941,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292499.597473,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292499.857324,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292500.061413,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292500.233061,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292500.411305,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292500.678818,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292500.815595,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292501.085874,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292501.242988,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292501.413209,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292501.60469,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292501.905078,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292502.02706,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292502.219402,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292502.421805,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292502.598426,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292503.036127,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292503.227818,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292503.543116,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292503.629507,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292503.851302,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
