
1617148993.896902,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617148995.047864,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148995.377846,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148996.764915,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148997.139278,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148998.572868,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617148999.425128,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617149000.612992,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617149000.98136,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617149001.664828,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617149002.296952,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617149003.260977,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617149004.190024,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617149005.703734,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617149006.029821,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A147OXF9QMT2Z8'}
1617149006.461462,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617149007.18524,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A147OXF9QMT2Z8'}
1617149007.844706,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A147OXF9QMT2Z8'}
1617149008.592318,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
1617149008.940279,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
1617149009.690686,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A147OXF9QMT2Z8'}
1617149010.492793,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A147OXF9QMT2Z8'}
1617149012.996526,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A147OXF9QMT2Z8'}
1617149013.79484,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A147OXF9QMT2Z8'}
1617149015.313823,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A147OXF9QMT2Z8'}
1617149015.314681,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617149045.392933,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617149053.138852,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
