
1614305235.975939,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305237.53673,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305241.513697,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305241.511624,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305242.66024,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305243.28633,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305243.894588,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305244.324282,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305244.823576,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305245.480303,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305245.792753,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305246.106896,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305246.838571,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305247.778546,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305247.780939,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305277.755721,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305279.226599,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305279.53039,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
