
1619542111.646063,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A13FUEPWBCLBUY'}
1619542112.031798,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A13FUEPWBCLBUY'}
1619542112.453564,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A13FUEPWBCLBUY'}
1619542112.553392,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A13FUEPWBCLBUY'}
1619542112.766329,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A13FUEPWBCLBUY'}
1619542113.705379,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A13FUEPWBCLBUY'}
1619542114.020322,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A13FUEPWBCLBUY'}
1619542114.125152,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A13FUEPWBCLBUY'}
1619542114.645651,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A13FUEPWBCLBUY'}
1619542114.753759,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A13FUEPWBCLBUY'}
1619542114.913355,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A13FUEPWBCLBUY'}
1619542115.899021,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A13FUEPWBCLBUY'}
1619542115.968935,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A13FUEPWBCLBUY'}
1619542116.196258,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A13FUEPWBCLBUY'}
1619542116.943627,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13FUEPWBCLBUY'}
1619542117.152772,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13FUEPWBCLBUY'}
1619542117.570271,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13FUEPWBCLBUY'}
1619542117.883498,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13FUEPWBCLBUY'}
1619542117.991165,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13FUEPWBCLBUY'}
1619542118.143257,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13FUEPWBCLBUY'}
1619542119.244601,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542119.333005,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542119.554781,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542119.973692,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542120.073309,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542120.286006,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542121.330886,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A13FUEPWBCLBUY'}
1619542121.391789,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A13FUEPWBCLBUY'}
