
1619657596.331346,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657596.74902,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2871R3LEPWMMK'}
1619657597.585806,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2871R3LEPWMMK'}
1619657598.525563,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657598.838565,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2871R3LEPWMMK'}
1619657599.361818,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2871R3LEPWMMK'}
1619657599.794708,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657600.197172,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
1619657600.613771,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
1619657600.980937,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2871R3LEPWMMK'}
1619657601.449981,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2871R3LEPWMMK'}
1619657601.827485,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657602.384642,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
1619657603.126354,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2871R3LEPWMMK'}
1619657603.125364,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657633.202539,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657634.246871,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657634.337751,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657634.978342,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2871R3LEPWMMK'}
1619657635.187443,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2871R3LEPWMMK'}
1619657635.813445,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2871R3LEPWMMK'}
1619657635.929907,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2871R3LEPWMMK'}
1619657636.649403,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2871R3LEPWMMK'}
1619657636.792335,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2871R3LEPWMMK'}
1619657637.277047,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2871R3LEPWMMK'}
1619657637.902729,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657638.524097,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2871R3LEPWMMK'}
1619657638.949938,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2871R3LEPWMMK'}
1619657639.469459,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2871R3LEPWMMK'}
1619657639.799707,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2871R3LEPWMMK'}
1619657640.409731,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657640.935511,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
1619657641.662982,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657642.080151,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2871R3LEPWMMK'}
1619657642.498462,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2871R3LEPWMMK'}
1619657642.917246,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
1619657643.333721,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
1619657643.856448,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657644.401938,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2871R3LEPWMMK'}
1619657644.415453,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657674.449679,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657675.611166,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657675.922288,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657676.446035,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2871R3LEPWMMK'}
1619657676.967496,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2871R3LEPWMMK'}
1619657677.906689,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2871R3LEPWMMK'}
1619657678.428722,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657678.500629,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657679.161674,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657679.473654,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657679.748427,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657680.310957,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657680.731333,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657680.826313,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
