
1614274334.363202,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A28CTAQZT20JTM'}
1614274340.630571,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274341.675593,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274342.406937,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274343.346549,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274343.867704,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274344.808626,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274345.534625,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274346.167781,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274346.898933,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274347.942334,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274349.239311,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A28CTAQZT20JTM'}
1614274351.49347,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A28CTAQZT20JTM'}
1614274353.687731,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A28CTAQZT20JTM'}
1614274353.918671,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A28CTAQZT20JTM'}
1614274354.625974,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A28CTAQZT20JTM'}
1614274356.399628,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274357.002003,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274358.277504,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274359.009478,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274359.845531,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274360.993841,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274370.08841,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A28CTAQZT20JTM'}
1614274370.71283,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A28CTAQZT20JTM'}
1614274371.025745,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A28CTAQZT20JTM'}
1614274372.490577,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A28CTAQZT20JTM'}
1614274373.532679,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A28CTAQZT20JTM'}
1614274373.845423,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A28CTAQZT20JTM'}
1614274375.099507,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274375.71111,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274385.336387,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A28CTAQZT20JTM'}
1614274385.643879,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A28CTAQZT20JTM'}
1614274386.276341,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A28CTAQZT20JTM'}
1614274387.528575,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A28CTAQZT20JTM'}
1614274388.259843,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A28CTAQZT20JTM'}
1614274389.096327,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A28CTAQZT20JTM'}
1614274391.707657,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A28CTAQZT20JTM'}
