
1614298909.644389,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.672898,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.675618,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.676481,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.685569,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.714715,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.720068,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.759312,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.761034,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.762501,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.765485,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.789005,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.793389,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.854439,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.856704,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.860414,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.865049,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.871426,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.878293,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.933056,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.946496,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.947191,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.952894,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.954304,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.955128,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298910.0053,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298910.023552,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298910.029774,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298910.03281,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298910.037906,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298910.040967,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
