
1614035108.30999,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614035108.732674,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614035109.397331,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAASQIW3J32OL'}
1614035110.825396,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035111.005389,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035111.911631,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035115.206641,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAASQIW3J32OL'}
1614035115.726024,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAASQIW3J32OL'}
1614035118.546248,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614035118.921123,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614035119.486202,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614035120.321596,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAASQIW3J32OL'}
1614035121.370215,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAASQIW3J32OL'}
1614035121.784061,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAASQIW3J32OL'}
1614035122.515723,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAASQIW3J32OL'}
1614035123.350517,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAASQIW3J32OL'}
1614035124.022797,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAASQIW3J32OL'}
1614035124.919496,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAASQIW3J32OL'}
1614035125.858187,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614035127.217603,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAASQIW3J32OL'}
1614035127.242957,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAASQIW3J32OL'}
1614035157.192097,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAASQIW3J32OL'}
1614035161.475476,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035162.746933,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035163.253385,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035165.02692,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035165.339796,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035165.758998,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035166.803328,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035167.115082,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035168.159964,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAASQIW3J32OL'}
1614035168.323438,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAASQIW3J32OL'}
1614035169.28157,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614035169.517092,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614035170.875442,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAASQIW3J32OL'}
1614035171.192143,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAASQIW3J32OL'}
1614035171.920732,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035172.339156,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035172.755321,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035173.590993,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAASQIW3J32OL'}
1614035174.020957,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAASQIW3J32OL'}
1614035176.311632,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614035176.442466,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614035179.249557,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAASQIW3J32OL'}
