
1616345849.271877,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345849.68512,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345850.44247,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345850.835204,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345851.356997,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345852.34328,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345852.609844,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345852.818997,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345853.758316,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345853.937006,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345854.173095,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345855.228917,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345855.534279,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345855.645939,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345857.277076,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345857.519127,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345857.732893,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345858.994596,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345859.191246,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345859.399307,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345860.860988,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345861.07074,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345861.278819,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345862.291214,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345862.955215,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345863.21738,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345864.160396,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345864.387725,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345864.726157,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345865.144836,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345865.457403,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345866.083884,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1PHDT66U6IK4Q'}
