
1614301607.690135,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301608.221609,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301608.434231,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301610.209845,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301610.310336,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301610.940238,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301611.254619,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301614.496225,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301614.837869,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301615.224527,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301615.432232,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301615.850152,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301616.581245,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301617.521195,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301618.102803,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301618.767165,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301619.818822,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301622.431163,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301622.743573,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301624.624404,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301624.626637,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301648.249989,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301648.920561,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301652.245472,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301652.721857,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301653.138443,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301653.974004,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301654.600587,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301655.122847,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301655.535653,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301656.167545,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301657.003186,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301657.736372,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301658.685938,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301659.405032,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301659.718533,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301660.138227,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301660.263563,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301660.898,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301661.286115,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2MOKIEQZ0OF2M'}
