
1614017816.36891,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017817.855176,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017818.457173,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017818.980103,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017822.113539,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017822.634909,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017823.367805,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017824.620119,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017825.038191,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017825.45565,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017827.334958,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017827.962561,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017828.231709,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017829.009056,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017829.632473,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017829.724128,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017831.62037,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1BIJGB7XA0GME'}
1614017832.741115,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1BIJGB7XA0GME'}
1614017835.224564,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1BIJGB7XA0GME'}
1614017836.528394,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1BIJGB7XA0GME'}
1614017837.703959,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1BIJGB7XA0GME'}
1614017841.437686,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1BIJGB7XA0GME'}
1614017842.796184,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
