
1614014986.816725,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014987.481719,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614014988.003686,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ARI1EMAHUA9PO'}
1614014988.391955,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ARI1EMAHUA9PO'}
1614014989.048308,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614014990.40496,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ARI1EMAHUA9PO'}
1614014990.403504,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614015020.600243,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614015022.582519,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614015023.095252,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614015024.139122,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614015024.837511,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614015025.655578,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ARI1EMAHUA9PO'}
1614015026.245721,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ARI1EMAHUA9PO'}
1614015026.947736,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614015027.582174,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614015029.275613,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ARI1EMAHUA9PO'}
1614015029.868911,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ARI1EMAHUA9PO'}
1614015030.349265,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ARI1EMAHUA9PO'}
1614015031.015142,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614015031.335495,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614015032.043484,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614015032.771168,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614015033.07859,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614015033.608422,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ARI1EMAHUA9PO'}
1614015034.023798,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ARI1EMAHUA9PO'}
1614015034.441798,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ARI1EMAHUA9PO'}
1614015035.487258,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614015035.489448,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ARI1EMAHUA9PO'}
1614015065.414821,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614015067.23872,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614015067.558794,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614015068.387898,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614015068.499981,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614015069.746103,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ARI1EMAHUA9PO'}
1614015069.749352,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ARI1EMAHUA9PO'}
1614015070.268175,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614015070.391837,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614015071.207239,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614015071.834476,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614015072.670175,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614015073.50613,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614015074.027276,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ARI1EMAHUA9PO'}
1614015074.586551,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ARI1EMAHUA9PO'}
