
1614298769.942192,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
1614298771.153208,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298771.320843,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298771.780228,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298773.242357,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A21ZK49H9LSSRY'}
1614298773.973413,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A21ZK49H9LSSRY'}
1614298774.391329,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A21ZK49H9LSSRY'}
1614298775.226885,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A21ZK49H9LSSRY'}
1614298775.645207,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A21ZK49H9LSSRY'}
1614298775.958388,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A21ZK49H9LSSRY'}
1614298776.480132,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A21ZK49H9LSSRY'}
1614298777.353544,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A21ZK49H9LSSRY'}
1614298777.782256,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A21ZK49H9LSSRY'}
1614298778.361293,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298778.987326,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298779.510176,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A21ZK49H9LSSRY'}
1614298779.996197,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A21ZK49H9LSSRY'}
1614298782.434228,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A21ZK49H9LSSRY'}
1614298782.436359,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298812.416399,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298814.715279,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298815.863549,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298816.176925,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298816.28772,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298816.698915,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298816.820995,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298817.221015,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298818.056567,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
1614298818.265642,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
1614298819.305326,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A21ZK49H9LSSRY'}
1614298819.420696,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A21ZK49H9LSSRY'}
1614298820.772445,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298821.087728,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298821.503565,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
