
1616108835.515556,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108835.927643,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108836.867804,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108837.285188,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108837.73004,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108838.124305,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108838.548331,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108839.489529,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108839.860995,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108840.751488,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108841.254959,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108842.08996,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108843.238856,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108844.038762,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108861.935638,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108862.457698,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108862.857267,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108863.920082,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SAZ2K1V1WJ0V'}
