
1614013451.837967,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013452.461203,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013453.088424,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013453.399225,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013453.923483,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013454.318781,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013454.758975,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013455.706586,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013456.222101,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013456.535343,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013457.845541,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013458.939451,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013459.355312,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013459.772594,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013460.190993,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013460.399361,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013460.564748,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013461.235939,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013461.443528,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013462.488382,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013462.907137,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1B5SSGMTAQ9B5'}
