
1614273404.703461,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273404.89144,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273405.363098,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273405.886518,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273406.616689,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273406.928802,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273409.227573,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273410.167654,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273410.586302,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273411.734126,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273412.04946,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273412.361047,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273412.988409,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CF8ULBSE8MTL'}
