
1617476884.560437,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476885.865551,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476886.975141,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476887.798219,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476888.111916,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476888.530582,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476889.260122,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476890.096379,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476890.723189,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476891.245007,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476892.288033,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476893.020641,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476893.333707,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476893.96195,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476894.571051,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476895.110027,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476895.63213,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476896.992577,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476897.511637,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476898.556733,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476900.437001,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476900.439602,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476930.517878,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476931.353639,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476931.886501,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476932.977996,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476933.257925,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476934.276627,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476934.449664,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476935.610249,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476936.277087,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476936.691353,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476938.142785,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3JC9VPPTHNKVL'}
